"A";"U";"Bezeichnung"
"Gruppe 0 / Vertretungskörper und allgemeine Verwaltung (Gemeinden)";;
00;;"Gewählte Gemeindeorgane"
;000;"Gewählte Gemeindeorgane"
01;;"Hauptverwaltung"
;010;"Zentralamt"
;011;"Personalamt"
;012;"Hilfsamt"
;013;"Kanzleiökonomat"
;014;"Gemeindekontrolleinrichtung"
;015;"Pressestelle, Amtsblatt und Öffentlichkeitsarbeit"
;016;"Elektronische Datenverarbeitung"
;018;"Geschäftsstelle der Kranken- und Unfallfürsorge"
;019;"Repräsentation"
02;;"Hauptverwaltung"
;020;"Rechtsamt"
;021;"Statistisches Amt"
;022;"Standesamt"
;023;"Einwohneramt"
;024;"Wahlamt"
;025;"Staatsbürgerschaft"
;026;"Sonstige Einrichtungen"
;029;"Amtsgebäude"
03;;"Bauverwaltung"
;030;"Bauamt"
;031;"Amt für Raumordnung und Raumplanung"
;032;"Vermessungsamt"
;033;"Hochbauamt"
;034;"Tiefbauamt"
04;;"Sonderämter"
;049;"Sonstige Einrichtungen"
05;;"Bezirksverwaltung"
;050;"Bezirksverwaltung"
06;;"Sonstige Maßnahmen"
;060;"Beiträge an Verbände, Vereine oder sonstige Organisationen"
;061;"Sonstige Subventionen"
;062;"Ehrungen und Auszeichnungen"
;063;"Städtekontakte und Partnerschaften"
;069;"Förderung anderer Rechtsträger"
07;;"Verfügungsmittel"
;070;"Verfügungsmittel"
08;;"Pensionen (soweit nicht aufgeteilt)"
;080;"Pensionen (soweit nicht aufgeteilt)"
09;;"Personalbetreuung"
;090;"Bezugsvorschüsse und Darlehen"
;091;"Personalausbildung und Personalfortbildung"
;094;"Gemeinschaftspflege"
;099;"Sonstige Einrichtungen und Maßnahmen"
"Gruppe 1 / Öffentliche Ordnung und Sicherheit (Länder und Gemeinden)";;
10;;"Gesonderte Verwaltung"
;100;"Gesonderte Verwaltung"
11;;"Öffentliche Ordnung"
;110;"Sicherung der Behördenkommunikation"
;119;"Sonstige Einrichtungen und Maßnahmen"
12;;"Sicherheitspolizei"
;120;"Allgemeine Angelegenheiten"
;129;"Sonstige Einrichtungen und Maßnahmen"
13;;"Sonderpolizei"
;130;"Gewerbe-, Markt- und Lebensmittelpolizei"
;131;"Bau- und Feuerpolizei"
;132;"Gesundheitspolizei"
;133;"Veterinärpolizei"
;134;"Flurpolizei"
;139;"Sonstige Einrichtungen und Maßnahmen"
16;;"Feuerwehrwesen"
;160;"Feuerwehrinspektorat"
;161;"Feuerwehrschulen"
;162;"Berufsfeuerwehren"
;163;"Freiwillige Feuerwehren"
;164;"Förderung der Brandbekämpfung und Brandverhütung"
;169;"Sonstige Einrichtungen und Maßnahmen"
17;;"Katastrophendienst"
;170;"Allgemeine Angelegenheiten"
;179;"Sonstige Einrichtungen und Maßnahmen"
18;;"Landesverteidigung"
;180;"Zivilschutz"
;189;"Sonstige Einrichtungen und Maßnahmen"
"Gruppe 2 / Unterricht, Erziehung, Sport und Wissenschaft (Länder und Gemeinden)";;
20;;"Gesonderte Verwaltung"
;200;"Schulamt"
;202;"Sportamt"
;205;"Schulaufsicht"
;206;"Qualifikations- und Disziplinarkommissionen der Landeslehrer"
;207;"Personalvertretung der Landeslehrer"
;208;"Pensionen der Landeslehrer"
;209;"Sonstige Einrichtungen und Maßnahmen"
21;;"Allgemeinbildender Unterricht"
;210;"Allgemeinbildende Pflichtschulen, gemeinsame Kosten"
;211;"Volksschulen"
;212;"Hauptschulen"
;213;"Sonderschulen"
;214;"Polytechnische Schulen"
;215;"Allgemeinbildende höhere Schulen"
;219;"Sonstige Einrichtungen und Maßnahmen"
22;;"Berufsbildender Unterricht; Anstalten der Lehrer- und Erzieherbildung"
;220;"Berufsbildende Pflichtschulen"
;221;"Berufsbildende mittlere Schulen"
;222;"Berufsbildende höhere Schulen"
;223;"Akademien für Sozialarbeit"
;224;"Bildungsanstalten für Kindergartenpädagogik"
;225;"Bildungsanstalten für Sozialpädagogik"
;226;"Berufspädagogische Akademien"
;227;"Pädagogische Akademien und Institute"
;228;"Berufsausbildung schulentlassener Jugendlicher"
;229;"Sonstige Einrichtungen und Maßnahmen"
23;;"Förderung des Unterrichts"
;230;"Förderung des Schulbetriebs"
;231;"Förderung der Lehrerschaft"
;232;"Schülerbetreuung"
;239;"Sonstige Einrichtungen und Maßnahmen"
24;;"Vorschulische Erziehung"
;240;"Kindergärten"
;241;"Förderung der Kindergärtner/innen"
;249;"Sonstige Einrichtungen und Maßnahmen"
25;;"Außerschulische Jugenderziehung"
;250;"Schülerhorte"
;251;"Schüler-, Lehrlings- und Gesellenheime"
;252;"Jugendherbergen und Jugendheime"
;253;"Jugendverkehrserziehung"
;259;"Sonstige Einrichtungen und Maßnahmen"
26;;"Sport und außerschulische Leibeserziehung"
;260;"Landessportorganisation"
;261;"Sportausbildungsstätten"
;262;"Sportplätze"
;263;"Turn- und Sporthallen"
;264;"Eislaufplätze und –hallen"
;265;"Tennisplätze und –hallen"
;266;"Wintersportanlagen"
;269;"Sonstige Einrichtungen und Maßnahmen"
27;;"Erwachsenenbildung"
;270;"Volkshochschulen"
;271;"Volksbildungswerke"
;272;"Volksbildungsheime"
;273;"Volksbüchereien"
;279;"Sonstige Einrichtungen und Maßnahmen"
28;;"Forschung und Wissenschaft"
;280;"Förderung von Universitäten und Hochschulen"
;281;"Universitäts- und Hochschuleinrichtungen"
;282;"Studienbeihilfen"
;283;"Wissenschaftliche Archive"
;284;"Wissenschaftliche Bibliotheken"
;285;"Wissenschaftliche Museen"
;286;"Botanische und zoologische Gärten (als wissenschaftliche Einrichtungen)"
;287;"Wissenschaftliche Sternwarten"
;289;"Sonstige Einrichtungen und Maßnahmen"
"Gruppe 3 / Kunst, Kultur und Kultus (Länder und Gemeinden)";;
30;;"Gesonderte Verwaltung"
;300;"Kulturamt"
31;;"Bildende Künste"
;310;"Ausbildung in den bildenden Künsten"
;311;"Einrichtungen der bildenden Künste"
;312;"Maßnahmen zur Förderung der bildenden Künste"
;319;"Sonstige Einrichtungen und Maßnahmen"
32;;"Musik und darstellende Kunst"
;320;"Ausbildung in Musik und darstellender Kunst"
;321;"Einrichtungen der Musikpflege"
;322;"Maßnahmen zur Förderung der Musikpflege"
;323;"Einrichtungen der darstellenden Kunst"
;324;"Maßnahmen zur Förderung der darstellenden Kunst"
;325;"Festspiele"
;329;"Sonstige Einrichtungen und Maßnahmen"
33;;"Schrifttum und Sprache"
;330;"Förderung von Schrifttum und Sprache"
34;;"Museen und sonstige Sammlungen"
;340;"Museen"
;341;"Sonstige Sammlungen"
35;;"Sonstige Kunstpflege"
;350;"Einrichtungen zur Kunstpflege"
;351;"Maßnahmen zur Kunstpflege"
36;;"Heimatpflege"
;360;"Heimatmuseen"
;361;"Nichtwissenschaftliche Archive"
;362;"Denkmalpflege"
;363;"Altstadterhaltung und Ortsbildpflege"
;369;"Sonstige Einrichtungen und Maßnahmen"
37;;"Rundfunk, Presse und Film"
;370;"Förderung von Rundfunk und Fernsehen"
;371;"Förderung von Presse und Film"
;379;"Sonstige Einrichtungen und Maßnahmen"
38;;"Sonstige Kulturpflege"
;380;"Einrichtungen der Kulturpflege"
;381;"Maßnahmen der Kulturpflege"
39;;"Kultus"
;390;"Kirchliche Angelegenheiten"
"Gruppe 4 / Soziale Wohlfahrt und Wohnbauförderung (Länder und Gemeinden)";;
40;;"Gesonderte Verwaltung"
;400;"Sozialamt"
;401;"Jugendamt"
41;;"Allgemeine öffentliche Wohlfahrt"
;410;"Einrichtungen der allgemeinen Sozialhilfe"
;411;"Maßnahmen der allgemeinen Sozialhilfe"
;412;"Einrichtungen der Behindertenhilfe"
;413;"Maßnahmen der Behindertenhilfe"
;414;"Einrichtungen der Blindenhilfe"
;415;"Maßnahmen der Blindenhilfe (soweit nicht bei 413)"
;416;"Hilfen für Kriegsopfer und Geschädigte nach dem Opferfürsorgegesetz"
;417;"Pflegesicherung"
;419;"Sonstige Einrichtungen und Maßnahmen"
42;;"Freie Wohlfahrt"
;420;"Altenheime"
;421;"Pflegeheime"
;422;"Tagesheimstätten"
;423;"Essen auf Rädern"
;424;"Heimhilfe"
;425;"Entwicklungshilfe im Ausland"
;426;"Flüchtlingshilfe"
;429;"Sonstige Einrichtungen und Maßnahmen"
43;;"Jugendwohlfahrt"
;430;"Säuglingsheime"
;431;"Kinderheime"
;432;"Kindererholungsheime"
;435;"Erziehungsheime"
;439;"Sonstige Einrichtungen und Maßnahmen"
44;;"Behebung von Notständen"
;440;"Einrichtungen"
;441;"Maßnahmen"
45;;"Sozialpolitische Maßnahmen"
;450;"Ausgleichszahlungen"
;451;"Altersvorsorge"
;459;"Sonstige Maßnahmen"
46;;"Familienpolitische Maßnahmen"
;460;"Familienlastenausgleich"
;461;"Hausstandsgründung"
;462;"Unterbringung kinderreicher Familien"
;469;"Sonstige Maßnahmen"
48;;"Wohnbauförderung"
;480;"Allgemeine Wohnbauförderung"
;481;"Landes-Wohnbau-Sonderprogramme"
;482;"Wohnbauförderung"
;483;"Förderung der Wohnhaussanierung"
;484;"Förderung der Althaussanierung"
;485;"Bundes-Sonderwohnbaugesetze"
;489;"Sonstige Maßnahmen"
"Gruppe 5 / Gesundheit (Länder und Gemeinden)";;
50;;"Gesonderte Verwaltung"
;500;"Gesundheitsamt"
;501;"Umweltschutzamt"
51;;"Gesundheitsdienst"
;510;"Medizinische Bereichsversorgung"
;511;"Familienberatung"
;512;"Sonstige medizinische Beratung und Betreuung"
;513;"Desinfektionsanstalten"
;514;"Röntgenzug"
;515;"Zahnstationen"
;516;"Schulgesundheitsdienst"
;519;"Sonstige Einrichtungen und Maßnahmen"
52;;"Umweltschutz"
;520;"Natur- und Landschaftsschutz"
;521;"Reinhaltung der Gewässer"
;522;"Reinhaltung der Luft"
;523;"Lärmbekämpfung"
;524;"Strahlenschutz"
;527;"Müllbeseitigung"
;528;"Tierkörperbeseitigung"
;529;"Sonstige Einrichtungen und Maßnahmen"
53;;"Rettungs- und Warndienste"
;530;"Rettungsdienste"
;531;"Warndienste"
;539;"Sonstige Einrichtungen und Maßnahmen"
54;;"Ausbildung im Gesundheitsdienst"
;540;"Ärztliche Dienste"
;541;"Hebammendienste"
;542;"Krankenpflegefachdienste"
;543;"Medizinisch-technische Dienste"
;544;"Sanitätshilfsdienste"
;549;"Sonstige Gesundheitsdienste"
55;;"Eigene Krankenanstalten"
;550;"Zentralkrankenanstalten"
;551;"Schwerpunktkrankenanstalten"
;552;"Standardkrankenanstalten"
;553;"Sonderkrankenanstalten"
;554;"Heime für Genesende"
;555;"Pflegeanstalten für chronisch Kranke"
;556;"Entbindungsanstalten und Sanatorien"
;557;"Zuschüsse zum Betriebsabgang von Krankenanstalten"
;558;"Selbständige Ambulatorien"
;559;"Sonstige Einrichtungen und Maßnahmen"
56;;"Krankenanstalten anderer Rechtsträger"
;560;"Betriebsabgangsdeckung"
;561;"Errichtung und Ausgestaltung"
;562;"Sprengelbeiträge"
;569;"Sonstige Maßnahmen"
57;;"Heilvorkommen und Kurorte"
;570;"Kurfonds"
;579;"Sonstige Einrichtungen und Maßnahmen"
58;;"Veterinärmedizin"
;580;"Einrichtungen der Veterinärmedizin"
;581;"Maßnahmen der Veterinärmedizin"
59;;"Gesundheit, Sonstiges"
;590;"Krankenanstaltenfonds"
"Gruppe 6 / Straßen- und Wasserbau, Verkehr (Länder und Gemeinden)";;
60;;"Gesonderte Verwaltung"
;600;"Straßen- und Wasserbauverwaltung (soweit nicht gesondert organisiert)"
61;;"Straßenbau"
;610;"Bundesstraßen"
;611;"Landesstraßen"
;612;"Gemeindestraßen"
;616;"Sonstige Straßen und Wege"
;617;"Bauhöfe"
;618;"Bundes- und Landesstraßen, gemeinsame Kosten"
;619;"Sonstige Einrichtungen und Maßnahmen"
62;;"Allgemeiner Wasserbau"
;620;"Förderung der Wasserversorgung"
;621;"Förderung der Abwasserbeseitigung"
;624;"Umwelt- und Wasserwirtschaftsfonds, Siedlungswasserwirtschaft"
;629;"Sonstige Maßnahmen"
63;;"Schutzwasserbau"
;630;"Bundesflüsse"
;631;"Konkurrenzgewässer"
;632;"Wasserwehre und Schleusen"
;633;"Wildbachverbauung"
;634;"Lawinenschutzbauten"
;635;"Bauhöfe"
;639;"Sonstige Einrichtungen und Maßnahmen"
64;;"Straßenverkehr"
;640;"Einrichtungen und Maßnahmen nach der Straßenverkehrsordnung"
;649;"Sonstige Einrichtungen und Maßnahmen"
65;;"Schienenverkehr"
;650;"Eisenbahnen"
;651;"Sonstige Schienenwege"
;652;"Seilbahnen"
;659;"Sonstige Einrichtungen und Maßnahmen"
66;;"Schiffsverkehr"
;660;"Fluss- und Seenschifffahrt"
;661;"Hafen und Hafeneinrichtungen"
;662;"Schutzdammanlagen"
;669;"Sonstige Einrichtungen und Maßnahmen"
67;;"Luftfahrt"
;670;"Luftfahrt"
;671;"Flughafen und Flughafeneinrichtungen"
;679;"Sonstige Einrichtungen und Maßnahmen"
68;;"Post- und Telekommunikationsdienste"
;680;"Post- und Telekommunikationsdienste"
69;;"Verkehr, Sonstiges"
;690;"Verkehr, Sonstiges"
;699;"Sonstige Einrichtungen und Maßnahmen"
"Gruppe 7 / Wirtschaftsförderung (Länder und Gemeinden)";;
"A";"U";"Bezeichnung"
70;;"Gesonderte Verwaltung"
;700;"Gesonderte Verwaltung"
71;;"Grundlagenverbesserung in der Land- und Forstwirtschaft"
;710;"Land- und forstwirtschaftlicher Wegebau"
;711;"Landwirtschaftlicher Wasserbau"
;712;"Strukturverbesserung"
;713;"Elektrifizierung und Mechanisierung"
;714;"Landwirtschaftliches Siedlungswesen"
;"715
719";"Besitzfestigung Sonstige Maßnahmen"
74;;"Sonstige Förderung der Land- und Forstwirtschaft"
;740;"Land- und forstwirtschaftliche Interessenvertretungen"
;741;"Bildung und Beratung"
;742;"Produktionsförderung"
;743;"Absatz und Verwertung"
;747;"Jagd und Fischerei"
;748;"Notstandsmaßnahmen"
;749;"Sonstige Einrichtungen und Maßnahmen"
75;;"Förderung der Energiewirtschaft"
;750;"Kohle, Erdöl, Erdgas"
;751;"Elektrizität"
;759;"Sonstige Energieträger"
77;;"Förderung des Fremdenverkehrs"
;770;"Einrichtungen zur Förderung des Fremdenverkehrs"
;771;"Maßnahmen zur Förderung des Fremdenverkehrs"
78;;"Förderung von Handel, Gewerbe und Industrie"
;780;"Einrichtungen zur Förderung von Handel, Gewerbe und Industrie"
;781;"Bildung und Beratung"
;782;"Wirtschaftspolitische Maßnahmen"
;788;"Notstandsmaßnahmen"
;789;"Sonstige Einrichtungen und Maßnahmen"
"Gruppe 8 / Dienstleistungen (Länder und Gemeinden)";;
80;;"Gesonderte Verwaltung"
;800;"Hochbauverwaltung (soweit gesondert organisiert)"
;801;"Liegenschaftsverwaltung"
;802;"Betriebsverwaltung der unter einheitlicher Verwaltung stehenden Einrichtungen"
81;;"Öffentliche Einrichtungen (soweit nicht dem Abschnitt 85 zuzuordnen)"
;810;"Wasserversorgung"
;811;"Abwasserbeseitigung"
;812;"WC-Anlagen"
;813;"Müllbeseitigung"
;814;"Straßenreinigung"
;815;"Park- und Gartenanlagen, Kinderspielplätze"
;816;"Öffentliche Beleuchtung und öffentliche Uhren"
;817;"Friedhöfe (einschließlich Einsegnungshallen und Krematorien)"
;819;"Sonstige öffentliche Einrichtungen"
82;;"Betriebsähnliche Einrichtungen und Betriebe"
;820;"Wirtschaftshöfe"
;821;"Fuhrpark"
;822;"Schlachthöfe, Freibänke, Viehmärkte"
;824;"Lager- und Kühlhäuser"
;825;"Tierkörperbeseitigung und –verwertung"
;826;"Fäkalienabfuhr"
;827;"Öffentliche Waagen"
;828;"Sonstige Märkte"
83;;"Betriebsähnliche Einrichtungen und Betriebe (Fortsetzung)"
;830;"Botanische und zoologische Gärten"
;831;"Freibäder"
;833;"Hallenbäder"
;835;"Sonstige Badeanlagen und Saunas"
;839;"Sonstige Betriebe und betriebsähnliche Einrichtungen"
84;;"Liegenschaften, Wohn- und Geschäftsgebäude"
;840;"Grundbesitz"
;841;"Grundstücksgleiche Rechte"
;842;"Waldbesitz (soweit nicht bei 866)"
;843;"Alpbesitz"
;846;"Wohn- und Geschäftsgebäude (soweit nicht bei 853)"
;849;"Sonstige Liegenschaften"
85;;"Betriebe mit marktbestimmter Tätigkeit"
;850;"Betriebe der Wasserversorgung"
;851;"Betriebe der Abwasserbeseitigung"
;852;"Betriebe der Müllbeseitigung"
;853;"Betriebe für die Errichtung und Verwaltung von Wohn- und Geschäftsgebäuden"
;858;"Zusammengefasste Betriebe mit marktbestimmter Tätigkeit"
;859;"Sonstige Betriebe mit marktbestimmter Tätigkeit"
86;;"Land- und forstwirtschaftliche Betriebe"
;860;"Gärtnereien"
;862;"Landwirtschaftsbetriebe"
;864;"Weinbaubetriebe"
;865;"Kellereien"
;866;"Forstgüter"
;867;"Forstgärten, Baumschulen"
;869;"Sonstige land- und forstwirtschaftliche Betriebe"
87;;"Wirtschaftliche Unternehmungen"
;870;"Elektrizitätsversorgung"
;871;"Fernwärmeversorgung"
;872;"Gasversorgung"
;875;"Straßenverkehrsbetriebe"
;876;"Hafen-, Schifffahrt- und Fährbetriebe"
;878;"Zusammengefasste Unternehmungen"
;879;"Stadtwerke"
88;;"Wirtschaftliche Unternehmungen (Fortsetzung)"
;880;"Lichtspieltheater"
;882;"Werbebetriebe"
;883;"Installationsbetriebe"
;884;"Wäschereien"
;885;"Molkereibetriebe"
;886;"Steinbrüche, Sand- und Schottergruben"
;888;"Bestattungsunternehmungen"
89;;"Wirtschaftliche Unternehmungen (Fortsetzung)"
;890;"Reisebüros"
;891;"Gast- und Schankbetriebe"
;892;"Beherbergungsbetriebe"
;893;"Apotheken"
;894;"Stadthallen, Kongresshäuser"
;895;"Messen, Ausstellungen"
;896;"Campingplätze"
;897;"Kurbetriebe"
;898;"Seilbahnen und Lifte"
;899;"Sonstige wirtschaftliche Unternehmungen"
"Gruppe 9 / Finanzwirtschaft (Länder und Gemeinden)";;
90;;"Gesonderte Verwaltung"
;900;"Gesonderte Verwaltung"
91;;"Kapitalvermögen und Stiftungen ohne eigene Rechtspersönlichkeit"
;910;"Geldverkehr"
;911;"Darlehen (soweit nicht aufgeteilt)"
;912;"Rücklagen (soweit nicht aufteilbar)"
;913;"Wertpapiere"
;914;"Beteiligungen"
;915;"Berechtigungen"
;916;"Schadenersätze von Dritten (soweit nicht aufteilbar)"
;917;"Stiftungen ohne eigene Rechtspersönlichkeit"
92;;"Öffentliche Abgaben"
;920;"Ausschließliche Gemeindeabgaben"
;921;"Zwischen Ländern und Gemeinden geteilte Abgaben"
;922;"Ausschließliche Landesabgaben"
;923;"Abgaben von demselben Besteuerungsgegenstand"
;924;"Zuschlagsabgaben zu Bundesabgaben"
;925;"Ertragsanteile an gemeinschaftlichen Bundesabgaben"
93;;"Umlagen"
;930;"Landesumlage"
94;;"Finanzzuweisungen und Zuschüsse"
;940;"Bedarfszuweisungen"
;941;"Sonstige Finanzzuweisungen nach dem FAG"
;942;"Sonstige Finanzzuweisungen"
;943;"Zuschüsse nach dem FAG"
;944;"Zuschüsse nach dem Katastrophenfondsgesetz"
;945;"Sonstige Zuschüsse des Bundes"
;946;"Zuschüsse nach landesgesetzlichen Bestimmungen"
;947;"Sonstige Zuschüsse der Länder"
95;;"Nicht aufteilbare Schulden"
;950;"Aufgenommene Darlehen und Schuldendienst"
;951;"Aufgenommene Anleihen und Schuldendienst"
;952;"Vermögensrückstellung"
;953;"Schadenersätze an Dritte (soweit nicht aufteilbar)"
96;;"Haftungen (soweit nicht aufteilbar)"
;960;"Zahlungsverpflichtungen"
;961;"Provisionen und Rückerstattungen"
97;;"Verstärkungsmittel"
;970;"Verstärkungsmittel"
98;;"Haushaltsausgleich"
;981;"Haushaltsausgleich durch Rücklagen"
;982;"Haushaltsausgleich durch Kreditoperationen"
99;;"Jahresergebnis, Übergabe und Übernahme des Jahresergebnisses, Abwicklung der Vorjahre"
;990;"Überschüsse und Abgänge (soweit nicht zugeordnet)"
;991;"Rückersetzte, nicht absetzbare Einnahmen und Ausgaben (soweit nicht aufteilbar)"
;992;"Abgänge an Kassenausgaberesten und Ausfälle an Kasseneinnahmeresten (soweit nicht aufteilbar)"
